hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
Venture Park,3.5,Very Good,1192.0,3.0,Thoraipakkam,,,,1315.0,339.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Grand Chennai by GRT Hotels,4.5,Excellent,1535.0,5.0,T Nagar,,,,8550.0,1710.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Season 4 Residences, Nungambakkam",3.7,Very Good,101.0,,Near US Consulate,,,,2591.0,620.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Ginger Chennai OMR,4.5,Excellent,161.0,3.0,Navallur,,,,2479.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hotel Pandian,3.5,Very Good,2322.0,2.0,Egmore,,,,1595.0,342.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hilton Chennai,4.3,Excellent,811.0,5.0,Guindy ,Chennai Airport,8.2 km ,8.2,11000.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
FORTEL,3.5,Very Good,502.0,,Egmore,,,,3118.0,703.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Royal Park,3.1,Good,10.0,,Near Marina Beach,,,,1351.0,407.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Fairfield by Marriott Chennai Mahindra World City,4.2,Very Good,442.0,4.0,Mahindra World City ,city centre,45.7 km ,45.7,5533.0,1130.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Crossway Parklane Airport Hotel,3.2,Good,517.0,3.0,Meenambakkam ,Chennai Airport,2.9 km ,2.9,2544.0,574.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hotel Ashok Residency,3.7,Very Good,559.0,3.0,Porur,,,,4290.0,933.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hotel Greens Gate (Near Central station),3.6,Very Good,1869.0,,Poongavanapuram,,,,1887.0,498.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
HOTEL RANJITH,4.0,Very Good,159.0,3.0,Near US Consulate,,,,5208.0,1064.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Welcomhotel by ITC Hotels, GST Road, Chennai",4.2,Very Good,510.0,5.0,Singaperumal Koil ,city centre,43.6 km ,43.6,7200.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Regenta Central RS Chennai SIPCOT OMR,4.4,Excellent,740.0,4.0,Egatoor ,city centre,31.6 km ,31.6,3824.0,459.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
CRESCENT PARK (near US Consulate Chennai),4.1,Very Good,284.0,3.0,Nungambakkam,,,,2307.0,471.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Harrisons,4.0,Very Good,604.0,3.0,Nungambakkam,,,,3906.0,798.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
MGM Beach Resorts (15Kms before Mahabalipuram),3.9,Very Good,2900.0,4.0,Muttukadu ,city centre,31.8 km ,31.8,25110.0,7812.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
PARK PLAZA CHENNAI OMR,4.0,Very Good,198.0,5.0,Thoraipakkam,,,,4200.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Feathers A Radha Hotel Chennai,4.3,Excellent,447.0,5.0,Manapakkam ,Chennai Airport,9.7 km ,9.7,8999.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
V7 HOTEL,3.2,Good,1120.0,3.0,Porur,,,,3667.0,896.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai",3.7,Very Good,400.0,3.0,Adyar,,,,2240.0,796.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hostel Gandhi,4.2,Very Good,109.0,,Saidapet ,Chennai Airport,8.0 km ,8.0,1307.0,107.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Grand Cascade,3.6,Very Good,1402.0,3.0,Poongavanapuram ,Chennai Central Railway Station,730 m ,0.73,2052.0,502.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Days Hotel Chennai OMR,4.3,Excellent,392.0,4.0,Kelambakkam ,city centre,35.3 km ,35.3,2767.0,565.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
PP Residency,4.0,Very Good,421.0,,Chennai ,city centre,35.0 km ,35.0,2768.0,713.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Highnest | Rooms & Caretaker,3.5,Very Good,52.0,,Kattankolatur R.F. ,city centre,40.6 km ,40.6,2815.0,633.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Grand Elegant,3.9,Very Good,1064.0,,Poongavanapuram,,,,2046.0,418.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Accord Chrome,4.5,Excellent,217.0,,Chromepet ,Chennai Airport,5.4 km ,5.4,6975.0,1425.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
AVENUE HOTEL -CHENNAI AIRPORT,3.6,Very Good,1338.0,,Pallavaram ,Chennai Airport,3.1 km ,3.1,2671.0,546.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
La Woods hotel (1Km from us consulate chennai),4.0,Very Good,323.0,,Mount road,,,,3360.0,403.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
E Hotel,4.1,Very Good,590.0,4.0,Royapettah,,,,6749.0,810.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Hotel Bakya Slot - Maraimalai Nagar,3.6,Very Good,210.0,3.0,Maraimalai Nagar ,city centre,37.4 km ,37.4,2046.0,484.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Pharos Hotels,4.3,Excellent,73.0,3.0,Nungambakkam,,,,4650.0,1100.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Al Noor Palace,4.0,Very Good,290.0,,Triplicane ,Marina Beach,1.8 km ,1.8,2093.0,428.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
JS Five two By twinstar hotel,4.0,Very Good,68.0,,Raja Annamalai Puram,,,,3794.0,976.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
HOTEL HALEZ,4.3,Excellent,490.0,,Sholinganallur,,,,3800.0,456.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Essentia Premier Hotel,4.1,Very Good,63.0,4.0,Thoraipakkam,,,,3989.0,479.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
ILARA Hotel & Spa,4.0,Very Good,785.0,3.0,Navallur,,,,2650.0,576.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Centrepoint OMR,3.8,Very Good,886.0,3.0,Sholinganallur,,,,3322.0,723.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"KLASE HOTELS, GUINDY",3.3,Good,260.0,3.0,Mount road ,Chennai Airport,8.4 km ,8.4,2914.0,768.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Just Guest House,4.0,Very Good,745.0,,Pazhavanthangal ,Chennai Airport,4.0 km ,4.0,3149.0,811.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
GRAND OLIVER,3.6,Very Good,490.0,,Poongavanapuram,,,,1243.0,302.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Pebbles Serviced Apartments
Like a 3",4.2,Very Good,179.0,,T Nagar,,,,2349.0,547.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Mercure Chennai Sriperumbudur - An Accor Brand,4.2,Very Good,70.0,5.0,Oragadam ,city centre,43.0 km ,43.0,5900.0,,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
ZAITH RESIDENCY,3.4,Good,243.0,,Thousand Lights,,,,2355.0,635.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
Mount Kailash Suites,4.0,Very Good,422.0,3.0,Mount road ,Chennai Airport,9.2 km ,9.2,2516.0,615.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
The Mount City near US Consulate,3.6,Very Good,395.0,,Triplicane ,Marina Beach,2.9 km ,2.9,1748.0,460.0,Chennai,Tamil Nadu,,,,,,,,,,,,,,,,
"Country Inn and Suites by Radisson, Sahibabad",4.2,Very Good,15697.0,5.0,In Ghaziabad ,Delhi city centre,30.0 km ,30.0,6249.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Radisson Blu Kaushambi Delhi NCR,4.0,Very Good,1826.0,5.0,In Ghaziabad ,Delhi city centre,28.0 km ,28.0,5039.0,605.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Ashok,3.8,Very Good,5694.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,9.8,6288.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Pride Plaza Hotel Aerocity New Delhi,4.0,Very Good,7275.0,5.0,Aerocity ,Indira Gandhi International Airport,4.0 km ,4.0,6499.0,780.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,Very Good,2057.0,4.0,In Ghaziabad ,Delhi city centre,31.0 km ,31.0,3386.0,871.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4.0,Very Good,9348.0,5.0,Sector 10 Dwarka,,,,6223.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Holiday Inn New Delhi International Airport,4.2,Very Good,5734.0,5.0,Aerocity ,Indira Gandhi International Airport,3.8 km ,3.8,6999.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Novotel New Delhi International Airport- An Accor hotels brand,4.1,Very Good,4534.0,5.0,Aerocity ,Indira Gandhi International Airport,4.2 km ,4.2,7250.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Suryaa New Delhi,4.1,Very Good,4314.0,5.0,New Friends Colony,,,,5348.0,1092.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Hosteller Delhi | Private Rooms & Dorms,4.3,Excellent,795.0,,New Friends Colony,,,,2228.0,503.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The LaLiT New Delhi,4.1,Very Good,7908.0,5.0,Connaught Place,,,,9040.0,2430.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Radisson Blu Plaza Delhi Airport,4.3,Excellent,7275.0,5.0,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,5.2,4500.0,765.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Roseate House New Delhi,4.4,Excellent,9130.0,5.0,Aerocity ,Indira Gandhi International Airport,3.5 km ,3.5,9649.0,1737.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Lemon Tree Hotel East Delhi Mall Kaushambi,3.9,Very Good,1550.0,4.0,In Ghaziabad ,Delhi city centre,24.0 km ,24.0,2073.0,752.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
YWCA OF DELHI BLUE TRIANGLE FAMILY HOSTEL,3.9,Very Good,505.0,,Connaught Place ,Metro Museum,690 m ,0.69,2620.0,770.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Trans International,4.2,Very Good,6933.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,4.3,2274.0,465.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Leela Ambience Convention Hotel Delhi,4.4,Excellent,3845.0,5.0,East Delhi,,,,7499.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Jaypee Vasant Continental Hotel,4.0,Very Good,1696.0,5.0,Vasant Vihar ,T1 - Delhi Airport (IGI Airport),7.6 km ,7.6,5999.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
YWCA INTERNATIONAL GUEST HOUSE,3.8,Very Good,412.0,,Connaught Place ,India Gate,3.0 km ,3.0,2408.0,648.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Holiday Inn New Delhi Mayur Vihar,4.1,Very Good,2935.0,5.0,East Delhi,,,,6249.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Lemon Tree Premier Delhi Airport,3.9,Very Good,9726.0,4.0,Aerocity ,Indira Gandhi International Airport,4.1 km ,4.1,4464.0,1478.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Radisson Blu Marina Hotel Connaught Place,3.8,Very Good,2642.0,5.0,Connaught Place,,,,8000.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Metropolitan Hotel and Spa,4.1,Very Good,4049.0,5.0,Connaught Place,,,,7500.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Grand New Delhi,3.8,Very Good,1885.0,5.0,Vasant Kunj ,Indira Gandhi International Airport,7.7 km ,7.7,12899.0,2322.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Crowne Plaza Mayur Vihar,4.3,Excellent,3398.0,5.0,East Delhi,,,,8649.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Smart Plaza,4.3,Excellent,4031.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.4 km ,4.4,1525.0,423.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Aero Star,4.3,Excellent,9760.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,4.3,2472.0,505.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Golden Bliss Near IGI Airport Mahipalpur,3.0,Good,108.0,,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,4.1,2794.0,811.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel International Inn,4.1,Very Good,12005.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,4.3,2199.0,537.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Park New Delhi,3.5,Very Good,6779.0,5.0,Connaught Place ,Connaught Place,730 m ,0.73,7905.0,2125.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
ibis New Delhi Aerocity - An Accor Brand,3.7,Very Good,5538.0,4.0,Aerocity ,Indira Gandhi International Airport,4.4 km ,4.4,5100.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
goSTOPS Delhi - Rooms & Dorms,4.2,Very Good,1076.0,,Chandni Chowk ,Red Fort,1.8 km ,1.8,1481.0,384.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel The Royal Plaza,3.4,Good,10365.0,4.0,Connaught Place ,India Gate,2.3 km ,2.3,7379.0,885.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Taj Mahal, New Delhi",4.5,Excellent,991.0,5.0,Man Singh Road Area ,India Gate,1.2 km ,1.2,12000.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Shanti Palace (Mahipalpur),3.7,Very Good,2308.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,4.1,2604.0,532.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Aloft New Delhi Aerocity,4.2,Very Good,2906.0,5.0,Aerocity ,Indira Gandhi International Airport,4.1 km ,4.1,6950.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Radisson Blu Hotel New Delhi Dwarka,3.7,Very Good,7268.0,5.0,Sector 13 Dwarka,,,,5953.0,714.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Star,4.3,Excellent,1202.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,4.3,2472.0,505.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Pullman New Delhi International Airport- An Accor Luxury Brand,4.3,Excellent,2197.0,5.0,Aerocity ,Indira Gandhi International Airport,4.2 km ,4.2,10500.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Aman Continental @ Paharganj,4.3,Excellent,5760.0,3.0,Paharganj ,New Delhi Railway Station,390 m ,0.39,2045.0,620.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Taj Palace, New Delhi",4.5,Excellent,7913.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.0 km ,7.0,11500.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Red Fox Hotel Delhi Airport,3.9,Very Good,7509.0,3.0,Aerocity ,Indira Gandhi International Airport,4.2 km ,4.2,2903.0,1054.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Vivanta New Delhi, Dwarka",4.3,Excellent,7707.0,5.0,Sector 21 Dwarka,,,,7100.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Gold Regency @ Paharganj,4.3,Excellent,2949.0,3.0,Paharganj ,New Delhi Railway Station,310 m ,0.31,2044.0,620.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Red Brick | Home by Earthaa Escapes
Like a 3",4.2,Very Good,132.0,,Malviya Nagar,,,,2548.0,696.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
JW Marriott Hotel New Delhi Aerocity,4.5,Excellent,1308.0,5.0,Aerocity ,Indira Gandhi International Airport,4.1 km ,4.1,12800.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Crowne Plaza Rohini,4.3,Excellent,2702.0,5.0,Rohini,,,,6498.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Park Plaza, Shahdara",3.7,Very Good,3422.0,5.0,East Delhi,,,,3825.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Andaz Delhi - A concept by Hyatt,4.3,Excellent,1272.0,5.0,Aerocity ,Indira Gandhi International Airport,3.9 km ,3.9,11000.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Homestay AC Dormitory at Kashmiri Gate,3.9,Very Good,256.0,,North Delhi,,,,735.0,229.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Zone Connect Saket Delhi,3.9,Very Good,390.0,5.0,Saket,,,,5900.0,1205.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Crowne Plaza Okhla,4.3,Excellent,2802.0,5.0,Okhla Industrial Area,,,,6300.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Taurus Sarovar Portico,3.1,Good,845.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.0 km ,4.0,2976.0,608.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Leela Palace New Delhi,4.5,Excellent,449.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),8.5 km ,8.5,17000.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Shangri-La Eros New Delhi,4.4,Excellent,1832.0,5.0,Connaught Place ,India Gate,2.3 km ,2.3,12500.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Sheraton New Delhi,4.5,Excellent,1706.0,5.0,Saket,,,,9500.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Hyatt Centric Janakpuri, New Delhi",3.6,Very Good,850.0,5.0,Janakpuri,,,,5599.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
ITC Maurya - A Luxury Collection Hotel,4.3,Excellent,2009.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.4 km ,7.4,11000.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Le Meridien Delhi,4.2,Very Good,1622.0,5.0,Connaught Place ,India Gate,2.1 km ,2.1,12150.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Eros Hotel New Delhi ,Nehru Place",4.0,Very Good,2733.0,5.0,Near Nehru Place,,,,4999.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Jaypee Siddharth Hotel,3.7,Very Good,2052.0,5.0,Pusa road ,BLK Hospital,590 m ,0.59,6299.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Vertu,4.0,Very Good,3227.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,4.2,2525.0,631.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Le ROI, Delhi@ New Delhi Railway Station",4.0,Very Good,4625.0,3.0,Paharganj,,,,2474.0,633.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Ashiana Hotel @ New Delhi Railway Station,3.7,Very Good,176.0,,Paharganj ,New Delhi Railway Station,880 m ,0.88,883.0,307.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Roseate,4.3,Excellent,2371.0,5.0,Mahipalpur ,Indira Gandhi International Airport,8.0 km ,8.0,12024.0,2164.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"The Connaught, New Delhi - IHCL SeleQtions",4.5,Excellent,2016.0,4.0,Connaught Place ,Connaught Place,980 m ,0.98,7499.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hyatt Regency New Delhi,4.2,Very Good,1655.0,5.0,R.K. Puram ,T1 - Delhi Airport (IGI Airport),8.3 km ,8.3,8100.0,1863.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Samrat,3.2,Good,2214.0,4.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,9.8,4278.0,874.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"New Delhi YMCA Tourist Hostel | Rooms & Wi-Fi
Like a 3",3.5,Very Good,1401.0,,Connaught Place ,Connaught Place,900 m ,0.9,3148.0,847.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Golden Keys Inn,3.7,Very Good,752.0,3.0,North Delhi,,,,2009.0,679.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Ginger East Delhi,3.5,Very Good,3276.0,3.0,East Delhi,,,,1839.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Hans,3.6,Very Good,1397.0,4.0,Connaught Place ,Agrasen Ki Baoli,600 m ,0.6,4860.0,993.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Shubham Vilas
Like a 3",4.2,Very Good,323.0,,Rajouri Garden,,,,1876.0,665.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Ramada By Wyndham New Delhi Pitampura,3.5,Very Good,1620.0,4.0,North Delhi,,,,4437.0,906.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Svelte Hotel & Personal Suites,3.6,Very Good,967.0,5.0,Saket,,,,8333.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Grand Uddhav,4.2,Very Good,1838.0,3.0,Paharganj ,New Delhi Railway Station,740 m ,0.74,3081.0,817.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Chanakya Inn,3.4,Good,2603.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,4.1,1836.0,513.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Viva Palace @ Delhi Airport,3.9,Very Good,528.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,4.2,2271.0,567.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Hari Piorko,3.8,Very Good,5220.0,3.0,Paharganj ,New Delhi Railway Station,630 m ,0.63,1104.0,412.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Southern,3.4,Good,2350.0,3.0,Karol bagh,,,,1951.0,469.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel Delhi 37,4.3,Excellent,8326.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,4.3,2472.0,505.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Red Fox Hotel East Delhi,3.6,Very Good,1069.0,3.0,East Delhi,,,,1908.0,692.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
HOME@B11,2.3,Average,3.0,,East Of Kailash,,,,2758.0,901.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Umrao,3.9,Very Good,2863.0,5.0,Samalka ,Indira Gandhi International Airport,6.5 km ,6.5,5000.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
IIDL Suites,4.1,Very Good,1926.0,4.0,East Delhi,,,,4900.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Four Points by Sheraton Delhi,4.0,Very Good,1662.0,4.0,Samalka ,Indira Gandhi International Airport,6.4 km ,6.4,4559.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Deventure Sarovar Portico, Kapashera, New Delhi",3.9,Very Good,2681.0,4.0,Delhi ,Indira Gandhi International Airport,8.1 km ,8.1,5022.0,1026.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"The Dream House BnB | Rooms & Caretaker
Like a 3",4.1,Very Good,41.0,,Safdarjung Enclave ,T1 - Delhi Airport (IGI Airport),9.4 km ,9.4,2542.0,684.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Park Inn by Radisson, IP Extension- New Delhi",3.8,Very Good,2618.0,4.0,East Delhi,,,,4150.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Claridges New Delhi,4.1,Very Good,1055.0,5.0,Motilal Nehru Marg Area ,India Gate,2.2 km ,2.2,10350.0,1863.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
De Pavilion Hotel,3.6,Very Good,2047.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.6 km ,4.6,3164.0,646.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Venizia Sarovar Portico,3.6,Very Good,563.0,4.0,North Delhi,,,,3766.0,769.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Centaur Hotel,2.5,Average,676.0,3.0,Delhi Airport ,Indira Gandhi International Airport,2.0 km ,2.0,3202.0,654.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
The Orion Plaza - Nehru Place,3.8,Very Good,1180.0,3.0,Near Nehru Place,,,,2706.0,589.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Dee Marks Hotel & Resort Delhi Airport,3.4,Good,1572.0,4.0,Mahipalpur ,Indira Gandhi International Airport,8.8 km ,8.8,2534.0,633.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
HOTEL LE SEASONS,3.6,Very Good,581.0,4.0,Mahipalpur ,Indira Gandhi International Airport,3.8 km ,3.8,2653.0,700.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Caspia Hotel New Delhi Shalimar Bagh,3.4,Good,1725.0,3.0,North Delhi,,,,2799.0,572.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
"Park Inn by Radisson, Lajpat Nagar",4.1,Very Good,1856.0,4.0,Andrews Ganj,,,,6999.0,,New Delhi,Delhi,,,,,,,,,,,,,,,,
Jukaso Inn Down Town,3.6,Very Good,1207.0,3.0,Connaught Place ,Connaught Place,700 m ,0.7,3134.0,682.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Hotel LA New Delhi,3.6,Very Good,1764.0,4.0,Mangolpuri,,,,3438.0,702.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Kelvish Hotel Near Delhi Airport,3.9,Very Good,1337.0,3.0,Mahipalpur ,Indira Gandhi International Airport,5.4 km ,5.4,1869.0,481.0,New Delhi,Delhi,,,,,,,,,,,,,,,,
Radisson Hyderabad Hitec City,3.7,Very Good,7994.0,5.0,Gachibowli,,,,4500.0,,Hyderabad,Telangana,,,,,,,,,,,,,,,,
The Park Hyderabad,3.7,Very Good,11318.0,5.0,Somajiguda,,,,5699.0,1284.0,Hyderabad,Telangana,,,,,,,,,,,,,,,,
ITC Kohenur - A Luxury Collection Hotel,4.3,Excellent,2465.0,5.0,Hitech City,,,,16150.0,,Hyderabad,Telangana,,,,,,,,,,,,,,,,
Fairfield by Marriott Hyderabad Gachibowli,3.9,Very Good,5006.0,4.0,Gachibowli,,,,4004.0,818.0,Hyderabad,Telangana,,,,,,,,,,,,,,,,
Radisson Blu Plaza Hotel,4.1,Very Good,4632.0,5.0,Banjara Hills,,,,7250.0,,Hyderabad,Telangana,,,,,,,,,,,,,,,,
